#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
45,"Fantom
FTM","$0,363343",0.2%,-0.3%,-6.3%,-16.8%,$83 147 155,2 788 596 019,"3,18 milliard",$1 013 165 333
46,"Frax
FRAX","$0,998294",-0.0%,0.1%,-0.1%,-0.2%,$6 181 513,1 004 141 409,1 milliard,$1 002 093 996
47,"Edgecoin
EDGT","$1,00",-0.0%,-0.0%,-0.2%,-0.1%,$348 593,1 000 000 000,1 milliard,$999 941 393
48,"Rocket Pool
RPL","$49,80",-0.0%,0.3%,-4.8%,6.6%,$3 358 385,19 401 717,"19,4 million",$966 285 805
49,"The Sandbox
SAND","$0,515225",0.5%,-0.5%,1.3%,-14.1%,$63 453 484,1 853 581 926,3 milliard,$955 011 094
50,"EOS
EOS","$0,858564",0.4%,1.0%,-3.6%,-19.6%,$108 093 875,1 105 944 336,∞,$949 620 478
51,"MultiversX
EGLD","$36,59",0.2%,-0.2%,-5.6%,-5.9%,$13 536 477,25 453 120,"25,5 million",$931 193 787
52,"Aave
AAVE","$64,50",0.2%,1.0%,1.2%,-8.3%,$29 097 020,14 396 794,16 million,$928 706 532
53,"Render
RNDR","$2,46",0.9%,0.6%,35.0%,34.6%,$142 828 125,366 378 124,531 million,$902 262 500
54,"Decentraland
MANA","$0,483116",0.3%,-0.3%,2.3%,-15.4%,$51 188 072,1 824 351 728,"2,19 milliard",$881 208 147
55,"Stacks
STX","$0,635272",-0.2%,-1.9%,-1.4%,-12.6%,$21 833 979,1 381 213 305,"1,82 milliard",$877 213 335
56,"Theta Network
THETA","$0,864245",0.5%,0.3%,-6.0%,-16.0%,$10 636 384,1 000 000 000,1 milliard,$864 245 344
57,"Tezos
XTZ","$0,898499",0.1%,-0.6%,-0.2%,-12.8%,$16 259 281,930 630 247,∞,$836 170 626
58,"Axie Infinity
AXS","$6,90",0.2%,1.2%,0.6%,-14.1%,$34 267 941,115 661 359,270 million,$797 810 013
59,"Flow
FLOW","$0,765966",0.3%,1.8%,-0.4%,-17.0%,$10 009 287,1 036 200 000,"1,43 milliard",$795 518 603
60,"Synthetix Network
SNX","$2,43",-0.7%,3.1%,15.2%,-3.7%,$27 642 277,317 901 113,319 million,$773 017 577
61,"BitDAO
BIT","$0,514216",0.3%,0.6%,-0.8%,2.3%,$2 750 571,1 453 909 315,"9,61 milliard",$747 515 380
62,"Radix
XRD","$0,072544048970",-0.1%,4.7%,-6.8%,-17.3%,$2 926 963,10 175 491 086,"12,6 milliard",$738 167 545
63,"USDD
USDD","$0,999668",-0.1%,0.1%,-0.1%,1.3%,$30 925 677,737 654 482,∞,$737 574 303
64,"ImmutableX
IMX","$0,729195",0.4%,0.2%,-5.2%,-24.6%,$15 113 938,998 882 827,2 milliard,$728 493 147
65,"GALA
GALA","$0,030005390453",0.5%,1.5%,-0.8%,-27.0%,$71 513 215,24 005 937 743,24 milliard,$720 210 221
66,"KuCoin
KCS","$7,33",0.0%,-0.1%,-4.3%,-10.2%,$861 469,96 974 735,144 million,$709 997 865
67,"Rocket Pool ETH
RETH","$1 953,41",0.3%,0.8%,-0.6%,-2.8%,$595 870,360 440,361 millier,$704 086 657
68,"NEO
NEO","$9,87",0.3%,6.8%,5.8%,-13.1%,$63 063 043,70 530 000,100 million,$695 769 501
69,"Curve DAO
CRV","$0,847911",0.4%,1.5%,2.4%,-9.1%,$41 856 671,818 384 139,"1,95 milliard",$694 238 582
70,"Gate
GT","$4,91",-0.1%,0.5%,-2.0%,-6.1%,$342 880,139 018 905,300 million,$682 648 408
71,"Conflux
CFX","$0,319699",-0.1%,7.7%,12.2%,7.6%,$215 140 796,2 097 547 687,"5,28 milliard",$670 497 412
